Frame,Time,Rigid BodybugRotationX,Rigid BodybugRotationY,Rigid BodybugRotationZ,Rigid BodybugRotationW,Rigid BodybugPositionX,Rigid BodybugPositionY,Rigid BodybugPositionZ,Rigid BodybugError Per Marker,Rigid Body Markerbug_1PositionX,Rigid Body Markerbug_1PositionY,Rigid Body Markerbug_1PositionZ,Rigid Body Markerbug_1Marker Quality,Rigid Body Markerbug_2PositionX,Rigid Body Markerbug_2PositionY,Rigid Body Markerbug_2PositionZ,Rigid Body Markerbug_2Marker Quality,Rigid Body Markerbug_3PositionX,Rigid Body Markerbug_3PositionY,Rigid Body Markerbug_3PositionZ,Rigid Body Markerbug_3Marker Quality,Markerbug:Marker1PositionX,Markerbug:Marker1PositionY,Markerbug:Marker1PositionZ,Markerbug:Marker2PositionX,Markerbug:Marker2PositionY,Markerbug:Marker2PositionZ,Markerbug:Marker3PositionX,Markerbug:Marker3PositionY,Markerbug:Marker3PositionZ,MarkerUnlabeled:100PositionX,MarkerUnlabeled:100PositionY,MarkerUnlabeled:100PositionZ,MarkerUnlabeled:101PositionX,MarkerUnlabeled:101PositionY,MarkerUnlabeled:101PositionZ
,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,bug,bug,bug,bug,bug,bug,bug,bug,bug_1,bug_1,bug_1,bug_1,bug_2,bug_2,bug_2,bug_2,bug_3,bug_3,bug_3,bug_3,bug:Marker1,bug:Marker1,bug:Marker1,bug:Marker2,bug:Marker2,bug:Marker2,bug:Marker3,bug:Marker3,bug:Marker3,Unlabeled:100,Unlabeled:100,Unlabeled:100,Unlabeled:101,Unlabeled:101,Unlabeled:101
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
32,0.266667,0.012267,-0.660762,0.005527,-0.750475,0.079701,0.424163,0.14272,0.000104,0.085928,0.447234,0.16146,0.972255,0.066015,0.445496,0.126579,0.979315,0.087161,0.379759,0.140122,0.967054,0.085936,0.447295,0.161499,0.066003,0.445521,0.126561,0.08716,0.379682,0.140086,,,,,,
33,0.275,0.012281,-0.660744,0.005523,-0.75049,0.079692,0.424162,0.142724,0.000104,0.085917,0.447233,0.161464,0.973154,0.066007,0.445494,0.126582,0.979864,0.087154,0.379758,0.140127,0.968615,0.085925,0.447292,0.161503,0.065993,0.445521,0.126563,0.087153,0.37968,0.140093,,,,,,
34,0.283333,0.012303,-0.66073,0.0055,-0.750503,0.079685,0.42416,0.142729,0.000102,0.085907,0.447232,0.161468,0.973154,0.065998,0.445491,0.126586,0.979864,0.087149,0.379757,0.140132,0.968615,0.085915,0.447289,0.161506,0.065985,0.445518,0.126567,0.08715,0.379681,0.140099,,,,,,
35,0.291667,0.012299,-0.660727,0.005486,-0.750505,0.079675,0.42416,0.142733,0.000095,0.085897,0.447231,0.161473,0.975401,0.065988,0.445491,0.126591,0.98238,0.087139,0.379757,0.140136,0.970793,0.085903,0.447289,0.161508,0.065977,0.445515,0.126577,0.087139,0.379685,0.1401,,,,,,
36,0.3,0.012306,-0.660719,0.005531,-0.750512,0.079669,0.42416,0.142739,0.000099,0.085892,0.447233,0.161478,0.975401,0.065984,0.445492,0.126595,0.98238,0.087131,0.379757,0.140145,0.970793,0.085899,0.447293,0.161516,0.065972,0.445515,0.126578,0.08713,0.379684,0.140108,,,,,,
37,0.308333,0.012302,-0.66069,0.005467,-0.750538,0.079666,0.42416,0.142739,0.000095,0.085886,0.447231,0.16148,0.975131,0.065981,0.445491,0.126596,0.982109,0.087133,0.379757,0.140141,0.971204,0.085893,0.447289,0.161516,0.065969,0.445515,0.12658,0.087132,0.379687,0.140106,,,,,,
38,0.316667,0.01228,-0.660649,0.005481,-0.750574,0.079665,0.424158,0.142738,0.0001,0.085883,0.447229,0.161481,0.975131,0.065982,0.445491,0.126594,0.982109,0.087129,0.379755,0.140141,0.971204,0.08589,0.447289,0.161518,0.065969,0.445515,0.126577,0.087128,0.379682,0.140105,,,,,,
39,0.325,0.012335,-0.660633,0.005511,-0.750587,0.079669,0.424162,0.142738,0.000102,0.085886,0.447235,0.161478,0.973756,0.065986,0.445492,0.126591,0.981005,0.087135,0.379759,0.140146,0.9691,0.085893,0.447296,0.161515,0.065974,0.445517,0.126574,0.087135,0.379683,0.140111,,,,,,
40,0.333333,0.012316,-0.660627,0.00551,-0.750593,0.079667,0.424165,0.14274,0.000102,0.085884,0.447238,0.16148,0.973756,0.065985,0.445496,0.126593,0.981005,0.087132,0.379762,0.140146,0.9691,0.085892,0.447297,0.161519,0.065972,0.445521,0.126574,0.087132,0.379687,0.140111,,,,,,
41,0.341667,0.012311,-0.660648,0.005534,-0.750575,0.079662,0.424164,0.142743,0.000099,0.085881,0.447237,0.161483,0.974138,0.06598,0.445495,0.126596,0.981058,0.087125,0.37976,0.140151,0.970328,0.085889,0.447295,0.161521,0.065967,0.445519,0.126578,0.087124,0.379688,0.140116,,,,,,
